state	county	policies	insurance	premium
CALIFORNIA	HUMBOLDT COUNTY	894	188427600	898867
CALIFORNIA	IMPERIAL COUNTY	65	12174000	90212
CALIFORNIA	INYO COUNTY	85	22677800	38465
CALIFORNIA	KERN COUNTY	5245	1116619100	3694704
CALIFORNIA	KINGS COUNTY	1253	357782400	612182
CALIFORNIA	LAKE COUNTY	1820	400084600	1555033
CALIFORNIA	LASSEN COUNTY	145	27802000	146825
CALIFORNIA	LOS ANGELES COUNTY	21360	6244918800	19363666
CALIFORNIA	MADERA COUNTY	908	176922800	805956
CALIFORNIA	MARIN COUNTY	8527	2444541700	10055405
CALIFORNIA	MENDOCINO COUNTY	649	147333000	683823
CALIFORNIA	MERCED COUNTY	5433	1143967000	3185800
CALIFORNIA	MODOC COUNTY	102	23172700	70614
CALIFORNIA	MONO COUNTY	170	47177100	135861
CALIFORNIA	MONTEREY COUNTY	2669	722584800	3096029
CALIFORNIA	NAPA COUNTY	1965	554102100	2693437
CALIFORNIA	ORANGE COUNTY	16979	4753586100	18105903
CALIFORNIA	PLACER COUNTY	1545	462866600	1008796
CALIFORNIA	PLUMAS COUNTY	159	36859000	153084
CALIFORNIA	RIVERSIDE COUNTY	6512	1773572200	4510166
CALIFORNIA	SACRAMENTO COUNTY	53530	17296737500	24724964
CALIFORNIA	SAN BENITO COUNTY	195	49865100	220749
CALIFORNIA	SAN BERNARDINO COUNTY	4631	1135722400	4623115
CALIFORNIA	SAN DIEGO COUNTY	10069	2774756300	8669941
CALIFORNIA	SAN FRANCISCO COUNTY	136	38275600	75722
CALIFORNIA	SAN JOAQUIN COUNTY	8352	2515145900	5080561
CALIFORNIA	SAN LUIS OBISPO COUNTY	2465	693524000	2264390
CALIFORNIA	SAN MATEO COUNTY	5548	1588411800	6843072
CALIFORNIA	SANTA BARBARA COUNTY	4346	1198030300	4685608
CALIFORNIA	SANTA CLARA COUNTY	15909	4185307800	15800857
CALIFORNIA	SHASTA COUNTY	1200	291067200	976022
CALIFORNIA	SIERRA COUNTY	77	16576100	104420
CALIFORNIA	SISKIYOU COUNTY	418	90490700	358266
CALIFORNIA	SOLANO COUNTY	3173	873510800	2659699
CALIFORNIA	SONOMA COUNTY	3805	1014115600	3866858
CALIFORNIA	STANISLAUS COUNTY	1216	283627700	995254
CALIFORNIA	SUTTER COUNTY	7722	2461449500	3710962
CALIFORNIA	TEHAMA COUNTY	1196	276325900	1122171
CALIFORNIA	TRINITY COUNTY	117	25733000	82892
CALIFORNIA	TULARE COUNTY	7834	1975183900	5446934
CALIFORNIA	TUOLUMNE COUNTY	69	19567300	46683
CALIFORNIA	VENTURA COUNTY	7394	2102570900	5238607
CALIFORNIA	YOLO COUNTY	4984	1535900300	3075776
CALIFORNIA	YUBA COUNTY	4193	1281478700	1945571
COLORADO	JEFFERSON COUNTY	1267	337455300	1236155
COLORADO	MORGAN COUNTY	115	17253500	158946
COLORADO	WASHINGTON COUNTY	1	60000	744
COLORADO	YUMA COUNTY	15	3378400	22006
COLORADO	LINCOLN COUNTY	10	1592100	16250
COLORADO	LOGAN COUNTY	193	33404100	264776
COLORADO	PHILLIPS COUNTY	6	1319600	9691
COLORADO	LAKE COUNTY	5	1600000	5071
COLORADO	ADAMS COUNTY	1281	330521000	1145247
COLORADO	ALAMOSA COUNTY	48	11817200	27400
COLORADO	ARAPAHOE COUNTY	638	179681200	460899
COLORADO	ARCHULETA COUNTY	134	34494200	101787
COLORADO	BENT COUNTY	6	1155500	4671
COLORADO	BOULDER COUNTY	5738	1477582600	4740640
COLORADO	CHAFFEE COUNTY	130	34066200	107600
COLORADO	CLEAR CREEK COUNTY	130	30929400	159269
COLORADO	CONEJOS COUNTY	8	1354100	11116
COLORADO	COSTILLA COUNTY	6	688600	4436
COLORADO	DELTA COUNTY	59	14207900	54795
COLORADO	DENVER COUNTY	1269	334923200	1217777
COLORADO	DOLORES COUNTY	5	1043100	1528
COLORADO	DOUGLAS COUNTY	412	114058200	198780
COLORADO	EAGLE COUNTY	454	122351200	301489
COLORADO	EL PASO COUNTY	2734	649985100	2233378
COLORADO	ELBERT COUNTY	30	8390500	22274
COLORADO	FREMONT COUNTY	308	65314100	293222
COLORADO	GARFIELD COUNTY	193	58527500	171290
COLORADO	GILPIN COUNTY	25	12210800	80877
COLORADO	GRAND COUNTY	152	29494200	112894
COLORADO	GUNNISON COUNTY	277	71955100	189101
COLORADO	HINSDALE COUNTY	23	6447500	12649
COLORADO	HUERFANO COUNTY	64	8687000	73419
COLORADO	LA PLATA COUNTY	753	212252500	592592
COLORADO	LARIMER COUNTY	1540	420738800	1287523
COLORADO	LAS ANIMAS COUNTY	25	3832100	22133
COLORADO	MESA COUNTY	338	80482000	228844
COLORADO	MINERAL COUNTY	11	2163400	20875
COLORADO	MOFFAT COUNTY	23	5615400	15605
COLORADO	MONTEZUMA COUNTY	115	31327100	127918
COLORADO	MONTROSE COUNTY	108	23191300	91201
COLORADO	OTERO COUNTY	80	9621800	102329
COLORADO	OURAY COUNTY	58	16443400	42628
COLORADO	PARK COUNTY	33	8033500	26072
COLORADO	PITKIN COUNTY	275	76651300	253505
COLORADO	PROWERS COUNTY	66	14227400	74499
COLORADO	PUEBLO COUNTY	167	43283300	112738
COLORADO	RIO BLANCO COUNTY	21	4552000	12816
COLORADO	RIO GRANDE COUNTY	141	34108400	134155
COLORADO	ROUTT COUNTY	391	98130600	283864
COLORADO	SAGUACHE COUNTY	5	420000	5666
COLORADO	SAN JUAN COUNTY	4	1270000	1742
COLORADO	SAN MIGUEL COUNTY	509	125391600	327981
COLORADO	SEDGWICK COUNTY	2	420000	632
COLORADO	SUMMIT COUNTY	545	118769100	249393
COLORADO	TELLER COUNTY	71	19344900	70183
COLORADO	WELD COUNTY	515	130604500	546460
CONNECTICUT	FAIRFIELD COUNTY	16432	4339602100	22680477
CONNECTICUT	HARTFORD COUNTY	3128	742307400	3899013
CONNECTICUT	LITCHFIELD COUNTY	993	228436500	1375367
CONNECTICUT	MIDDLESEX COUNTY	3521	899895900	5176526
CONNECTICUT	NEW HAVEN COUNTY	10197	2446151900	13097332
CONNECTICUT	NEW LONDON COUNTY	4239	1103357200	6346537
CONNECTICUT	TOLLAND COUNTY	250	58595600	296088
CONNECTICUT	WINDHAM COUNTY	172	41673600	244707
DELAWARE	KENT COUNTY	1034	272823100	908995
DELAWARE	NEW CASTLE COUNTY	3127	810526000	3136983
DELAWARE	SUSSEX COUNTY	22021	5750252600	15349899
DISTRICT COLUMBIA	WASHINGTON, D.C.	2003	430965000	1242314
FLORIDA	CALHOUN COUNTY	107	20215300	83582
FLORIDA	CLAY COUNTY	5556	1570340200	2754436
FLORIDA	ESCAMBIA COUNTY	20862	5501536100	10787007
FLORIDA	FRANKLIN COUNTY	2797	732983800	4052108
FLORIDA	JACKSON COUNTY	131	29045100	78555
FLORIDA	JEFFERSON COUNTY	88	18585500	45996
FLORIDA	LEE COUNTY	128690	30974666200	94049377
FLORIDA	MADISON COUNTY	93	15814300	56251
FLORIDA	MARION COUNTY	3872	833376600	2164679
FLORIDA	MONROE COUNTY	26961	6544356500	33517733
FLORIDA	SUMTER COUNTY	3319	840373200	1237939
FLORIDA	WASHINGTON COUNTY	115	21226800	68559
FLORIDA	COLUMBIA COUNTY	787	168270300	528381
FLORIDA	LAFAYETTE COUNTY	147	21940300	108399
FLORIDA	POLK COUNTY	8163	1920942200	3958688
FLORIDA	UNION COUNTY	58	11522500	39842
FLORIDA	LAKE COUNTY	3660	896828400	1754902
FLORIDA	ORANGE COUNTY	14010	3643966100	6447909
FLORIDA	ALACHUA COUNTY	2681	662928500	1671346
FLORIDA	BAKER COUNTY	144	28836300	88723
FLORIDA	BAY COUNTY	32874	7747852200	13211014
FLORIDA	BRADFORD COUNTY	424	84584200	316833
FLORIDA	BREVARD COUNTY	47922	12504237300	18924916
FLORIDA	BROWARD COUNTY	207632	51745382000	80246275
FLORIDA	CHARLOTTE COUNTY	34669	8662522700	27859515
FLORIDA	CITRUS COUNTY	5614	1198052500	5506814
FLORIDA	COLLIER COUNTY	96868	23876886600	50895481
FLORIDA	DESOTO COUNTY	390	80453700	297311
FLORIDA	DIXIE COUNTY	420	58206700	531776
FLORIDA	DUVAL COUNTY	33024	9503674100	14391288
FLORIDA	FLAGLER COUNTY	11093	2994649600	4579872
FLORIDA	GADSDEN COUNTY	156	49235200	118422
FLORIDA	GILCHRIST COUNTY	253	39390500	219705
FLORIDA	GLADES COUNTY	269	46461500	130210
FLORIDA	GULF COUNTY	1478	386683100	1539354
FLORIDA	HAMILTON COUNTY	66	10982900	41596
FLORIDA	HARDEE COUNTY	97	20259800	61841
FLORIDA	HENDRY COUNTY	1363	299717800	744294
FLORIDA	HERNANDO COUNTY	3716	884326200	3271239
FLORIDA	HIGHLANDS COUNTY	874	205038100	424406
FLORIDA	HILLSBOROUGH COUNTY	62131	16407553900	46580749
FLORIDA	HOLMES COUNTY	101	18010000	82403
FLORIDA	INDIAN RIVER COUNTY	21321	5653394000	11084114
FLORIDA	LEON COUNTY	3423	901422900	2147175
FLORIDA	LEVY COUNTY	1042	169900000	1463614
FLORIDA	LIBERTY COUNTY	20	3266400	13873
FLORIDA	MANATEE COUNTY	43485	10692349500	31672816
FLORIDA	MARTIN COUNTY	16719	4446033600	8928120
FLORIDA	MIAMI-DADE COUNTY	342247	76548823900	149824843
FLORIDA	MONROE	3234	844800000	3911605
FLORIDA	NASSAU COUNTY	10440	2963079800	5319981
FLORIDA	OKALOOSA COUNTY	20335	4919649400	9302553
FLORIDA	OKEECHOBEE COUNTY	1588	333347900	919306
FLORIDA	OSCEOLA COUNTY	7966	2000525500	3913170
FLORIDA	PALM BEACH COUNTY	149886	38875876300	59942051
FLORIDA	PASCO COUNTY	23797	5383058400	19402704
FLORIDA	PINELLAS COUNTY	127599	28693560000	101053443
FLORIDA	PUTNAM COUNTY	1319	255435400	787599
FLORIDA	SANTA ROSA COUNTY	13004	3828375400	7018778
FLORIDA	SARASOTA COUNTY	54066	13661940500	37546935
FLORIDA	SEMINOLE COUNTY	6874	1888809500	3538633
FLORIDA	ST. JOHNS COUNTY	35056	9299285200	19264310
FLORIDA	ST. LUCIE COUNTY	19393	4615610300	7542510
FLORIDA	SUWANNEE COUNTY	574	112763600	370146
FLORIDA	TAYLOR COUNTY	570	92481300	584361
FLORIDA	VOLUSIA COUNTY	44819	10242688800	17983274
FLORIDA	WAKULLA COUNTY	1385	295284200	1938033
FLORIDA	WALTON COUNTY	18403	4916913400	8221265
GEORGIA	BALDWIN COUNTY	92	25464300	51933
GEORGIA	BIBB COUNTY	351	89182600	330643
GEORGIA	CALHOUN COUNTY	7	883300	13192
GEORGIA	CHEROKEE COUNTY	388	113290100	284161
GEORGIA	CLARKE COUNTY	267	63087700	186350
GEORGIA	CLAY COUNTY	1	210000	320
GEORGIA	COFFEE COUNTY	50	11964100	27558
GEORGIA	FAYETTE COUNTY	467	120964200	269331
GEORGIA	FRANKLIN COUNTY	3	767500	3043
GEORGIA	GREENE COUNTY	19	5815100	11949
GEORGIA	HENRY COUNTY	486	132904800	229248
GEORGIA	HOUSTON COUNTY	504	123334300	337237
GEORGIA	JACKSON COUNTY	8	1497700	4427
GEORGIA	JEFFERSON COUNTY	9	1289700	3326
GEORGIA	LAMAR COUNTY	6	1257000	2346
GEORGIA	LEE COUNTY	315	76005100	205474
GEORGIA	LOWNDES COUNTY	348	83007300	250360
GEORGIA	MACON COUNTY	14	2625000	11133
GEORGIA	MADISON COUNTY	7	1633100	2601
GEORGIA	MONROE COUNTY	91	23040800	80825
GEORGIA	MONTGOMERY COUNTY	39	6270000	21292
GEORGIA	MORGAN COUNTY	38	8712100	34367
GEORGIA	PICKENS COUNTY	52	11341900	36340
GEORGIA	PIKE COUNTY	5	1510000	3062
GEORGIA	RANDOLPH COUNTY	2	582700	2623
GEORGIA	SUMTER COUNTY	145	28343700	149345
GEORGIA	WALKER COUNTY	213	32648200	214875
GEORGIA	WASHINGTON COUNTY	26	2996600	20769
GEORGIA	WILCOX COUNTY	3	394600	1245
GEORGIA	CARROLL COUNTY	176	46554100	173261
GEORGIA	COLUMBIA COUNTY	758	206919000	362303
GEORGIA	CRAWFORD COUNTY	5	1283000	1781
GEORGIA	FULTON COUNTY	1966	549671300	1200171
GEORGIA	JOHNSON COUNTY	3	82000	771
GEORGIA	MILLER COUNTY	30	4697200	20798
GEORGIA	NEWTON COUNTY	144	38063500	103645
GEORGIA	POLK COUNTY	179	23670400	161716
GEORGIA	PULASKI COUNTY	27	4319800	17455
GEORGIA	UNION COUNTY	117	24403000	93680
GEORGIA	WHITE COUNTY	162	37566400	176340
GEORGIA	DOUGLAS COUNTY	259	67905800	131573
GEORGIA	ELBERT COUNTY	6	1115500	3685
GEORGIA	BAKER COUNTY	30	4300000	33189
GEORGIA	LIBERTY COUNTY	1852	444580500	1320622
GEORGIA	PUTNAM COUNTY	105	19810700	97041
GEORGIA	SEMINOLE COUNTY	169	27227100	130868
GEORGIA	TAYLOR COUNTY	21	6033400	11339
GEORGIA	WALTON COUNTY	163	39457400	93937
GEORGIA	APPLING COUNTY	81	11886000	57998
GEORGIA	ATKINSON COUNTY	3	295000	2410
GEORGIA	BACON COUNTY	2	387000	1021
GEORGIA	BANKS COUNTY	7	1191700	7706
GEORGIA	BARROW COUNTY	85	19857300	47515
GEORGIA	BARTOW COUNTY	169	42404000	104951
GEORGIA	BEN HILL COUNTY	47	8856000	57788
GEORGIA	BERRIEN COUNTY	62	8136800	74034
GEORGIA	BLECKLEY COUNTY	9	1e+06	4511
GEORGIA	BRANTLEY COUNTY	64	11296400	47003
GEORGIA	BROOKS COUNTY	28	5021500	21455
GEORGIA	BRYAN COUNTY	4845	1379632300	3421277
GEORGIA	BULLOCH COUNTY	429	103095300	298084
GEORGIA	BURKE COUNTY	28	4745300	13403
GEORGIA	BUTTS COUNTY	133	34090400	77834
GEORGIA	CAMDEN COUNTY	3666	1000215300	2016580
GEORGIA	CANDLER COUNTY	21	2712600	25715
GEORGIA	CATOOSA COUNTY	357	62978400	279822
GEORGIA	CHARLTON COUNTY	27	5844300	11028
GEORGIA	CHATHAM COUNTY	28747	8000424400	20646947
GEORGIA	CHATTAHOOCHEE COUNTY	2	1070000	2892
GEORGIA	CHATTOOGA COUNTY	39	7845800	97740
GEORGIA	CLAYTON COUNTY	560	132587200	388639
GEORGIA	CLINCH COUNTY	52	5267900	35038
GEORGIA	COBB COUNTY	3362	885817600	2191451
GEORGIA	COLQUITT COUNTY	108	20647000	81353
GEORGIA	COOK	14	4515000	5212
GEORGIA	COOK COUNTY	135	15783400	96812
GEORGIA	COWETA COUNTY	191	51434500	88912
GEORGIA	CRISP COUNTY	294	63594800	308811
GEORGIA	DADE COUNTY	33	5740800	32483
GEORGIA	DAWSON COUNTY	43	11034800	32321
GEORGIA	DECATUR COUNTY	306	67004000	230669
GEORGIA	DEKALB COUNTY	5191	1259327000	4271339
GEORGIA	DODGE COUNTY	12	1858400	10712
GEORGIA	DOOLY COUNTY	34	5852900	24955
GEORGIA	DOUGHERTY COUNTY	1495	296818600	1479825
GEORGIA	EARLY COUNTY	31	4628200	38112
GEORGIA	ECHOLS COUNTY	2	108000	737
GEORGIA	EFFINGHAM COUNTY	876	216739400	389102
GEORGIA	EMANUEL COUNTY	16	2414800	11693
GEORGIA	EVANS COUNTY	11	1245000	13259
GEORGIA	FANNIN COUNTY	360	86829600	315040
GEORGIA	FLOYD COUNTY	391	78237600	391219
GEORGIA	FORSYTH COUNTY	418	116780500	197811
GEORGIA	GILMER COUNTY	322	83775000	276662
GEORGIA	GLYNN COUNTY	15254	3954995500	15010070
GEORGIA	GORDON COUNTY	151	35860700	218257
GEORGIA	GRADY COUNTY	22	5072000	11991
GEORGIA	GWINNETT COUNTY	1543	418192100	963627
GEORGIA	HABERSHAM COUNTY	83	21994500	55958
GEORGIA	HALL COUNTY	169	39806200	106531
GEORGIA	HANCOCK COUNTY	9	1846900	8569
GEORGIA	HARALSON COUNTY	10	2507600	10126
GEORGIA	HARRIS COUNTY	130	36265900	70899
GEORGIA	HART COUNTY	16	4786900	9356
GEORGIA	HEARD COUNTY	6	716000	2727
GEORGIA	IRWIN	19	5465000	9312
GEORGIA	JASPER COUNTY	67	16083700	51087
GEORGIA	JEFF DAVIS COUNTY	26	5105700	20725
GEORGIA	JENKINS COUNTY	23	2835800	15835
GEORGIA	JONES COUNTY	46	12514100	37520
GEORGIA	LANIER COUNTY	20	2744900	15434
GEORGIA	LAURENS COUNTY	53	10559200	40731
GEORGIA	LONG COUNTY	171	43217500	96041
GEORGIA	LUMPKIN COUNTY	39	9388100	32626
GEORGIA	MCDUFFIE COUNTY	11	3012400	6916
GEORGIA	MCINTOSH COUNTY	848	219881300	777799
GEORGIA	MERIWETHER COUNTY	7	1533000	2428
GEORGIA	MITCHELL COUNTY	205	30522700	143123
GEORGIA	MURRAY COUNTY	46	9547900	38426
GEORGIA	MUSCOGEE COUNTY	869	205866000	757716
GEORGIA	OCONEE COUNTY	59	15842400	26827
