state	county	total_loss	closed_loss	open_loss	cwop_loss	total_pay
COLORADO	PUEBLO COUNTY	89	46	1	42	287781.08
COLORADO	RIO BLANCO COUNTY	10	7	0	3	31031.19
COLORADO	RIO GRANDE COUNTY	6	2	0	4	2651.77
COLORADO	ROUTT COUNTY	33	20	0	13	414728.54
COLORADO	SAN JUAN COUNTY	1	1	0	0	1144.08
COLORADO	SAN MIGUEL COUNTY	17	9	0	8	132604.49
COLORADO	SUMMIT COUNTY	26	12	0	14	43798.05
COLORADO	TELLER COUNTY	10	4	0	6	12024.68
COLORADO	WELD COUNTY	161	130	0	31	5466151.76
CONNECTICUT	FAIRFIELD COUNTY	11362	9241	8	2113	247929187.5
CONNECTICUT	HARTFORD COUNTY	1707	1299	0	408	13534431.3
CONNECTICUT	LITCHFIELD COUNTY	482	339	1	142	6002990.6
CONNECTICUT	MIDDLESEX COUNTY	2204	1680	2	522	36920396.06
CONNECTICUT	NEW HAVEN COUNTY	9280	7423	19	1838	164639200.84
CONNECTICUT	NEW LONDON COUNTY	2106	1613	1	492	29489197.33
CONNECTICUT	TOLLAND COUNTY	158	113	0	45	1604996.05
CONNECTICUT	WINDHAM COUNTY	68	50	0	18	1338498.71
DELAWARE	KENT COUNTY	393	309	0	84	3387345.67
DELAWARE	NEW CASTLE COUNTY	1339	1017	3	319	42147771.9
DELAWARE	SUSSEX COUNTY	4191	3149	6	1036	34336509.34
DISTRICT COLUMBIA	WASHINGTON, D.C.	247	126	2	119	3635616.6
FLORIDA	CALHOUN COUNTY	142	122	0	20	2073791.28
FLORIDA	ESCAMBIA COUNTY	15646	12082	8	3556	684446766.16
FLORIDA	FRANKLIN COUNTY	2414	1590	0	824	30516152.26
FLORIDA	JACKSON COUNTY	53	38	0	15	475362.9
FLORIDA	JEFFERSON COUNTY	7	3	0	4	35904.27
FLORIDA	LEE COUNTY	9283	5477	3	3803	75761722.35
FLORIDA	MADISON COUNTY	82	72	0	10	1406763.04
FLORIDA	MARION COUNTY	142	79	1	62	1382676.41
FLORIDA	MONROE COUNTY	18267	12431	1	5835	384343563.01
FLORIDA	SUMTER COUNTY	64	42	0	22	607180.51
FLORIDA	WASHINGTON COUNTY	131	114	0	17	1582138.56
FLORIDA	CLAY COUNTY	878	642	4	232	12707851.37
FLORIDA	COLUMBIA COUNTY	306	242	0	64	6401407.98
FLORIDA	LAFAYETTE COUNTY	250	207	0	43	2880177.02
FLORIDA	POLK COUNTY	816	472	0	344	8393747.83
FLORIDA	UNION COUNTY	24	21	0	3	314601.11
FLORIDA	LAKE COUNTY	190	94	0	96	1209155.97
FLORIDA	ORANGE COUNTY	939	382	2	555	4189788.09
FLORIDA	ALACHUA COUNTY	144	94	1	49	2028709.26
FLORIDA	BAKER COUNTY	71	62	0	9	1825746.47
FLORIDA	BAY COUNTY	6141	4582	5	1554	194788834.79
FLORIDA	BRADFORD COUNTY	89	62	1	26	885812.14
FLORIDA	BREVARD COUNTY	4299	2097	6	2196	37092860.97
FLORIDA	BROWARD COUNTY	26348	11572	74	14702	109556881.39
FLORIDA	CHARLOTTE COUNTY	2779	1332	0	1447	12305910.64
FLORIDA	CITRUS COUNTY	4414	3775	33	606	113408087.53
FLORIDA	COLLIER COUNTY	2011	930	1	1080	13919356.14
FLORIDA	DESOTO COUNTY	213	163	0	50	2277184.2
FLORIDA	DIXIE COUNTY	661	542	2	117	8357967.98
FLORIDA	DUVAL COUNTY	3468	2455	13	1000	56954735.67
FLORIDA	FLAGLER COUNTY	889	546	3	340	14699606.24
FLORIDA	GADSDEN COUNTY	27	18	0	9	196101.52
FLORIDA	GILCHRIST COUNTY	229	191	0	38	2308194.6
FLORIDA	GLADES COUNTY	44	25	0	19	180014.09
FLORIDA	GULF COUNTY	762	629	0	133	12112796.78
FLORIDA	HAMILTON COUNTY	109	96	0	13	1459125.88
FLORIDA	HARDEE COUNTY	44	32	0	12	453181.23
FLORIDA	HENDRY COUNTY	99	29	0	70	483589.7
FLORIDA	HERNANDO COUNTY	1850	1549	2	299	38476923.95
FLORIDA	HIGHLANDS COUNTY	88	43	0	45	656228.57
FLORIDA	HILLSBOROUGH COUNTY	6886	4619	12	2255	67366908.77
FLORIDA	HOLMES COUNTY	163	145	0	18	2165595.36
FLORIDA	INDIAN RIVER COUNTY	3077	1621	2	1454	58145272.83
FLORIDA	LEON COUNTY	831	640	0	191	9278651.29
FLORIDA	LEVY COUNTY	814	693	1	120	14903694.71
FLORIDA	LIBERTY COUNTY	6	5	0	1	136563.75
FLORIDA	MANATEE COUNTY	4520	3184	1	1335	29614258.63
FLORIDA	MARTIN COUNTY	2399	1409	1	989	37172495.28
FLORIDA	MIAMI-DADE COUNTY	53586	32089	21	21476	596290207.56
FLORIDA	MONROE	231	168	0	63	5191467.77
FLORIDA	NASSAU COUNTY	578	348	1	229	5039539.17
FLORIDA	OKALOOSA COUNTY	7599	5238	6	2355	268979737.68
FLORIDA	OKEECHOBEE COUNTY	264	156	1	107	1800504.87
FLORIDA	OSCEOLA COUNTY	400	140	3	257	1129708.21
FLORIDA	PALM BEACH COUNTY	9641	4434	15	5192	55211983.1
FLORIDA	PASCO COUNTY	8478	6621	2	1855	131194041.54
FLORIDA	PINELLAS COUNTY	21608	16217	6	5385	182922650.56
FLORIDA	PUTNAM COUNTY	314	215	3	96	4049147.24
FLORIDA	SANTA ROSA COUNTY	7244	5921	24	1299	437584016.41
FLORIDA	SARASOTA COUNTY	4495	3024	5	1466	34599262.94
FLORIDA	SEMINOLE COUNTY	606	322	0	284	5286130.72
FLORIDA	ST. JOHNS COUNTY	4704	3454	54	1196	148581390.32
FLORIDA	ST. LUCIE COUNTY	3625	2439	1	1185	71422133.04
FLORIDA	SUWANNEE COUNTY	296	235	0	61	5225087.89
FLORIDA	TAYLOR COUNTY	369	288	1	80	7712689.21
FLORIDA	VOLUSIA COUNTY	4451	2732	7	1712	59328156.7
FLORIDA	WAKULLA COUNTY	1349	1110	2	237	25793913.94
FLORIDA	WALTON COUNTY	3024	1844	2	1178	62314187.23
GEORGIA	BALDWIN COUNTY	6	5	0	1	114284.3
GEORGIA	BIBB COUNTY	99	72	0	27	2133668.01
GEORGIA	CHEROKEE COUNTY	57	40	0	17	5511204.48
GEORGIA	CLARKE COUNTY	23	17	0	6	102873.59
GEORGIA	COFFEE COUNTY	28	27	0	1	595017.42
GEORGIA	FRANKLIN COUNTY	1	1	0	0	12218.02
GEORGIA	HENRY COUNTY	34	17	0	17	220838.82
GEORGIA	HOUSTON COUNTY	128	86	0	42	1474445.31
GEORGIA	JACKSON COUNTY	1	1	0	0	3429.05
GEORGIA	JEFFERSON COUNTY	1	1	0	0	2299.96
GEORGIA	LAMAR COUNTY	1	1	0	0	15537.6
GEORGIA	LEE COUNTY	631	568	0	63	14109693.53
GEORGIA	LOWNDES COUNTY	75	59	0	16	2496876.32
GEORGIA	MACON COUNTY	5	4	0	1	37709.84
GEORGIA	MADISON COUNTY	1	0	0	1	0
GEORGIA	MONROE COUNTY	45	38	0	7	2577933.92
GEORGIA	MONTGOMERY COUNTY	31	27	0	4	415645.17
GEORGIA	PICKENS COUNTY	6	3	0	3	70139
GEORGIA	SUMTER COUNTY	11	8	0	3	74057.84
GEORGIA	WALKER COUNTY	136	110	0	26	2705432.3
GEORGIA	WASHINGTON COUNTY	4	4	0	0	9882.7
GEORGIA	--------------------------------	1	1	0	0	1432.34
GEORGIA	CARROLL COUNTY	52	42	2	8	4596541.18
GEORGIA	COLUMBIA COUNTY	68	46	0	22	434378.33
GEORGIA	FULTON COUNTY	796	568	1	227	10626075.26
GEORGIA	JOHNSON COUNTY	1	1	0	0	36633.82
GEORGIA	MILLER COUNTY	8	7	0	1	167723.82
GEORGIA	NEWTON COUNTY	32	22	1	9	485243.47
GEORGIA	PIKE COUNTY	3	1	0	2	532.46
GEORGIA	POLK COUNTY	131	108	0	23	771602.52
GEORGIA	PULASKI COUNTY	13	13	0	0	232700.81
GEORGIA	UNION COUNTY	32	24	0	8	405878.8
GEORGIA	WHITE COUNTY	28	7	0	21	80458.94
GEORGIA	DOUGLAS COUNTY	182	160	0	22	6932955.28
GEORGIA	BAKER COUNTY	38	34	0	4	597443.59
GEORGIA	LIBERTY COUNTY	68	29	1	38	176828.41
GEORGIA	PUTNAM COUNTY	3	1	0	2	2370.37
GEORGIA	SEMINOLE COUNTY	71	64	0	7	1528350.96
GEORGIA	TAYLOR COUNTY	3	3	0	0	49287
GEORGIA	WALTON COUNTY	23	11	0	12	144051.21
GEORGIA	APPLING COUNTY	19	14	0	5	232163.75
GEORGIA	BANKS COUNTY	1	0	0	1	0
GEORGIA	BARROW COUNTY	7	2	0	5	127572.19
GEORGIA	BARTOW COUNTY	27	19	0	8	490721.42
GEORGIA	BEN HILL COUNTY	18	13	0	5	128989.88
GEORGIA	BERRIEN COUNTY	5	3	0	2	72684.54
GEORGIA	BRANTLEY COUNTY	20	17	0	3	383123.16
GEORGIA	BROOKS COUNTY	12	7	0	5	261297.44
GEORGIA	BRYAN COUNTY	138	63	1	74	1482092.57
GEORGIA	BULLOCH COUNTY	86	67	0	19	653657.68
GEORGIA	BURKE COUNTY	1	0	0	1	0
GEORGIA	BUTTS COUNTY	23	20	0	3	378169.58
GEORGIA	CAMDEN COUNTY	153	99	0	54	1568711.17
GEORGIA	CANDLER COUNTY	1	1	0	0	3538.02
GEORGIA	CATOOSA COUNTY	233	205	0	28	3668430.18
GEORGIA	CHARLTON COUNTY	32	30	0	2	844830.59
GEORGIA	CHATHAM COUNTY	4144	2975	12	1157	48959892.26
GEORGIA	CHATTOOGA COUNTY	46	45	0	1	1513388.33
GEORGIA	CLAYTON COUNTY	348	258	0	90	3234422.46
GEORGIA	CLINCH COUNTY	5	2	0	3	2220.75
GEORGIA	COBB COUNTY	1646	1273	3	370	56880870.71
GEORGIA	COLQUITT COUNTY	50	43	0	7	1037975.78
GEORGIA	COOK	1	1	0	0	847.52
GEORGIA	COOK COUNTY	7	4	0	3	144784.24
GEORGIA	COWETA COUNTY	28	20	0	8	332609.2
GEORGIA	CRISP COUNTY	24	15	0	9	58126.44
GEORGIA	DADE COUNTY	8	5	0	3	108696.29
GEORGIA	DAWSON COUNTY	4	1	0	3	4140.86
GEORGIA	DECATUR COUNTY	198	168	0	30	4813199.94
