"","state","county","policies","insurance","premium"
"285","COLORADO","SEDGWICK COUNTY",2,420000,632
"286","COLORADO","SUMMIT COUNTY",545,118769100,249393
"287","COLORADO","TELLER COUNTY",71,19344900,70183
"288","COLORADO","WELD COUNTY",515,130604500,546460
"289","CONNECTICUT","FAIRFIELD COUNTY",16432,4339602100,22680477
"290","CONNECTICUT","HARTFORD COUNTY",3128,742307400,3899013
"291","CONNECTICUT","LITCHFIELD COUNTY",993,228436500,1375367
"292","CONNECTICUT","MIDDLESEX COUNTY",3521,899895900,5176526
"293","CONNECTICUT","NEW HAVEN COUNTY",10197,2446151900,13097332
"294","CONNECTICUT","NEW LONDON COUNTY",4239,1103357200,6346537
"295","CONNECTICUT","TOLLAND COUNTY",250,58595600,296088
"296","CONNECTICUT","WINDHAM COUNTY",172,41673600,244707
"297","DELAWARE","KENT COUNTY",1034,272823100,908995
"298","DELAWARE","NEW CASTLE COUNTY",3127,810526000,3136983
"299","DELAWARE","SUSSEX COUNTY",22021,5750252600,15349899
"300","DISTRICT COLUMBIA","WASHINGTON, D.C.",2003,430965000,1242314
"301","FLORIDA","CALHOUN COUNTY",107,20215300,83582
"302","FLORIDA","CLAY COUNTY",5556,1570340200,2754436
"303","FLORIDA","ESCAMBIA COUNTY",20862,5501536100,10787007
"304","FLORIDA","FRANKLIN COUNTY",2797,732983800,4052108
"305","FLORIDA","JACKSON COUNTY",131,29045100,78555
"306","FLORIDA","JEFFERSON COUNTY",88,18585500,45996
"307","FLORIDA","LEE COUNTY",128690,30974666200,94049377
"308","FLORIDA","MADISON COUNTY",93,15814300,56251
"309","FLORIDA","MARION COUNTY",3872,833376600,2164679
"310","FLORIDA","MONROE COUNTY",26961,6544356500,33517733
"311","FLORIDA","SUMTER COUNTY",3319,840373200,1237939
"312","FLORIDA","WASHINGTON COUNTY",115,21226800,68559
"313","FLORIDA","COLUMBIA COUNTY",787,168270300,528381
"314","FLORIDA","LAFAYETTE COUNTY",147,21940300,108399
"315","FLORIDA","POLK COUNTY",8163,1920942200,3958688
"316","FLORIDA","UNION COUNTY",58,11522500,39842
"317","FLORIDA","LAKE COUNTY",3660,896828400,1754902
"318","FLORIDA","ORANGE COUNTY",14010,3643966100,6447909
"319","FLORIDA","ALACHUA COUNTY",2681,662928500,1671346
"320","FLORIDA","BAKER COUNTY",144,28836300,88723
"321","FLORIDA","BAY COUNTY",32874,7747852200,13211014
"322","FLORIDA","BRADFORD COUNTY",424,84584200,316833
"323","FLORIDA","BREVARD COUNTY",47922,12504237300,18924916
"324","FLORIDA","BROWARD COUNTY",207632,51745382000,80246275
"325","FLORIDA","CHARLOTTE COUNTY",34669,8662522700,27859515
"326","FLORIDA","CITRUS COUNTY",5614,1198052500,5506814
"327","FLORIDA","COLLIER COUNTY",96868,23876886600,50895481
"328","FLORIDA","DESOTO COUNTY",390,80453700,297311
"329","FLORIDA","DIXIE COUNTY",420,58206700,531776
"330","FLORIDA","DUVAL COUNTY",33024,9503674100,14391288
"331","FLORIDA","FLAGLER COUNTY",11093,2994649600,4579872
"332","FLORIDA","GADSDEN COUNTY",156,49235200,118422
"333","FLORIDA","GILCHRIST COUNTY",253,39390500,219705
"334","FLORIDA","GLADES COUNTY",269,46461500,130210
"335","FLORIDA","GULF COUNTY",1478,386683100,1539354
"336","FLORIDA","HAMILTON COUNTY",66,10982900,41596
"337","FLORIDA","HARDEE COUNTY",97,20259800,61841
"338","FLORIDA","HENDRY COUNTY",1363,299717800,744294
"339","FLORIDA","HERNANDO COUNTY",3716,884326200,3271239
"340","FLORIDA","HIGHLANDS COUNTY",874,205038100,424406
"341","FLORIDA","HILLSBOROUGH COUNTY",62131,16407553900,46580749
"342","FLORIDA","HOLMES COUNTY",101,18010000,82403
"343","FLORIDA","INDIAN RIVER COUNTY",21321,5653394000,11084114
"344","FLORIDA","LEON COUNTY",3423,901422900,2147175
"345","FLORIDA","LEVY COUNTY",1042,169900000,1463614
"346","FLORIDA","LIBERTY COUNTY",20,3266400,13873
"347","FLORIDA","MANATEE COUNTY",43485,10692349500,31672816
"348","FLORIDA","MARTIN COUNTY",16719,4446033600,8928120
"349","FLORIDA","MIAMI-DADE COUNTY",342247,76548823900,149824843
"350","FLORIDA","MONROE",3234,844800000,3911605
"351","FLORIDA","NASSAU COUNTY",10440,2963079800,5319981
"352","FLORIDA","OKALOOSA COUNTY",20335,4919649400,9302553
"353","FLORIDA","OKEECHOBEE COUNTY",1588,333347900,919306
"354","FLORIDA","OSCEOLA COUNTY",7966,2000525500,3913170
"355","FLORIDA","PALM BEACH COUNTY",149886,38875876300,59942051
"356","FLORIDA","PASCO COUNTY",23797,5383058400,19402704
"357","FLORIDA","PINELLAS COUNTY",127599,28693560000,101053443
"358","FLORIDA","PUTNAM COUNTY",1319,255435400,787599
"359","FLORIDA","SANTA ROSA COUNTY",13004,3828375400,7018778
"360","FLORIDA","SARASOTA COUNTY",54066,13661940500,37546935
"361","FLORIDA","SEMINOLE COUNTY",6874,1888809500,3538633
"362","FLORIDA","ST. JOHNS COUNTY",35056,9299285200,19264310
"363","FLORIDA","ST. LUCIE COUNTY",19393,4615610300,7542510
"364","FLORIDA","SUWANNEE COUNTY",574,112763600,370146
"365","FLORIDA","TAYLOR COUNTY",570,92481300,584361
"366","FLORIDA","VOLUSIA COUNTY",44819,10242688800,17983274
"367","FLORIDA","WAKULLA COUNTY",1385,295284200,1938033
"368","FLORIDA","WALTON COUNTY",18403,4916913400,8221265
"369","GEORGIA","BALDWIN COUNTY",92,25464300,51933
"370","GEORGIA","BIBB COUNTY",351,89182600,330643
"371","GEORGIA","CALHOUN COUNTY",7,883300,13192
"372","GEORGIA","CHEROKEE COUNTY",388,113290100,284161
"373","GEORGIA","CLARKE COUNTY",267,63087700,186350
"374","GEORGIA","CLAY COUNTY",1,210000,320
"375","GEORGIA","COFFEE COUNTY",50,11964100,27558
"376","GEORGIA","FAYETTE COUNTY",467,120964200,269331
"377","GEORGIA","FRANKLIN COUNTY",3,767500,3043
"378","GEORGIA","GREENE COUNTY",19,5815100,11949
"379","GEORGIA","HENRY COUNTY",486,132904800,229248
"380","GEORGIA","HOUSTON COUNTY",504,123334300,337237
"381","GEORGIA","JACKSON COUNTY",8,1497700,4427
"382","GEORGIA","JEFFERSON COUNTY",9,1289700,3326
"383","GEORGIA","LAMAR COUNTY",6,1257000,2346
"384","GEORGIA","LEE COUNTY",315,76005100,205474
"385","GEORGIA","LOWNDES COUNTY",348,83007300,250360
"386","GEORGIA","MACON COUNTY",14,2625000,11133
"387","GEORGIA","MADISON COUNTY",7,1633100,2601
"388","GEORGIA","MONROE COUNTY",91,23040800,80825
"389","GEORGIA","MONTGOMERY COUNTY",39,6270000,21292
"390","GEORGIA","MORGAN COUNTY",38,8712100,34367
"391","GEORGIA","PICKENS COUNTY",52,11341900,36340
"392","GEORGIA","PIKE COUNTY",5,1510000,3062
"393","GEORGIA","RANDOLPH COUNTY",2,582700,2623
"394","GEORGIA","SUMTER COUNTY",145,28343700,149345
"395","GEORGIA","WALKER COUNTY",213,32648200,214875
"396","GEORGIA","WASHINGTON COUNTY",26,2996600,20769
"397","GEORGIA","WILCOX COUNTY",3,394600,1245
"398","GEORGIA","CARROLL COUNTY",176,46554100,173261
"399","GEORGIA","COLUMBIA COUNTY",758,206919000,362303
"400","GEORGIA","CRAWFORD COUNTY",5,1283000,1781
"401","GEORGIA","FULTON COUNTY",1966,549671300,1200171
"402","GEORGIA","JOHNSON COUNTY",3,82000,771
"403","GEORGIA","MILLER COUNTY",30,4697200,20798
"404","GEORGIA","NEWTON COUNTY",144,38063500,103645
"405","GEORGIA","POLK COUNTY",179,23670400,161716
"406","GEORGIA","PULASKI COUNTY",27,4319800,17455
"407","GEORGIA","UNION COUNTY",117,24403000,93680
"408","GEORGIA","WHITE COUNTY",162,37566400,176340
"409","GEORGIA","DOUGLAS COUNTY",259,67905800,131573
"410","GEORGIA","ELBERT COUNTY",6,1115500,3685
"411","GEORGIA","BAKER COUNTY",30,4300000,33189
"412","GEORGIA","LIBERTY COUNTY",1852,444580500,1320622
"413","GEORGIA","PUTNAM COUNTY",105,19810700,97041
"414","GEORGIA","SEMINOLE COUNTY",169,27227100,130868
"415","GEORGIA","TAYLOR COUNTY",21,6033400,11339
"416","GEORGIA","WALTON COUNTY",163,39457400,93937
"417","GEORGIA","APPLING COUNTY",81,11886000,57998
"418","GEORGIA","ATKINSON COUNTY",3,295000,2410
"419","GEORGIA","BACON COUNTY",2,387000,1021
"420","GEORGIA","BANKS COUNTY",7,1191700,7706
"421","GEORGIA","BARROW COUNTY",85,19857300,47515
"422","GEORGIA","BARTOW COUNTY",169,42404000,104951
"423","GEORGIA","BEN HILL COUNTY",47,8856000,57788
"424","GEORGIA","BERRIEN COUNTY",62,8136800,74034
"425","GEORGIA","BLECKLEY COUNTY",9,1e+06,4511
"426","GEORGIA","BRANTLEY COUNTY",64,11296400,47003
"427","GEORGIA","BROOKS COUNTY",28,5021500,21455
"428","GEORGIA","BRYAN COUNTY",4845,1379632300,3421277
"429","GEORGIA","BULLOCH COUNTY",429,103095300,298084
"430","GEORGIA","BURKE COUNTY",28,4745300,13403
"431","GEORGIA","BUTTS COUNTY",133,34090400,77834
"432","GEORGIA","CAMDEN COUNTY",3666,1000215300,2016580
"433","GEORGIA","CANDLER COUNTY",21,2712600,25715
"434","GEORGIA","CATOOSA COUNTY",357,62978400,279822
"435","GEORGIA","CHARLTON COUNTY",27,5844300,11028
"436","GEORGIA","CHATHAM COUNTY",28747,8000424400,20646947
"437","GEORGIA","CHATTAHOOCHEE COUNTY",2,1070000,2892
"438","GEORGIA","CHATTOOGA COUNTY",39,7845800,97740
"439","GEORGIA","CLAYTON COUNTY",560,132587200,388639
"440","GEORGIA","CLINCH COUNTY",52,5267900,35038
"441","GEORGIA","COBB COUNTY",3362,885817600,2191451
"442","GEORGIA","COLQUITT COUNTY",108,20647000,81353
"443","GEORGIA","COOK",14,4515000,5212
"444","GEORGIA","COOK COUNTY",135,15783400,96812
"445","GEORGIA","COWETA COUNTY",191,51434500,88912
"446","GEORGIA","CRISP COUNTY",294,63594800,308811
"447","GEORGIA","DADE COUNTY",33,5740800,32483
"448","GEORGIA","DAWSON COUNTY",43,11034800,32321
"449","GEORGIA","DECATUR COUNTY",306,67004000,230669
"450","GEORGIA","DEKALB COUNTY",5191,1259327000,4271339
"451","GEORGIA","DODGE COUNTY",12,1858400,10712
"452","GEORGIA","DOOLY COUNTY",34,5852900,24955
"453","GEORGIA","DOUGHERTY COUNTY",1495,296818600,1479825
"454","GEORGIA","EARLY COUNTY",31,4628200,38112
"455","GEORGIA","ECHOLS COUNTY",2,108000,737
"456","GEORGIA","EFFINGHAM COUNTY",876,216739400,389102
"457","GEORGIA","EMANUEL COUNTY",16,2414800,11693
"458","GEORGIA","EVANS COUNTY",11,1245000,13259
"459","GEORGIA","FANNIN COUNTY",360,86829600,315040
"460","GEORGIA","FLOYD COUNTY",391,78237600,391219
"461","GEORGIA","FORSYTH COUNTY",418,116780500,197811
"462","GEORGIA","GILMER COUNTY",322,83775000,276662
"463","GEORGIA","GLYNN COUNTY",15254,3954995500,15010070
"464","GEORGIA","GORDON COUNTY",151,35860700,218257
"465","GEORGIA","GRADY COUNTY",22,5072000,11991
"466","GEORGIA","GWINNETT COUNTY",1543,418192100,963627
"467","GEORGIA","HABERSHAM COUNTY",83,21994500,55958
"468","GEORGIA","HALL COUNTY",169,39806200,106531
"469","GEORGIA","HANCOCK COUNTY",9,1846900,8569
"470","GEORGIA","HARALSON COUNTY",10,2507600,10126
"471","GEORGIA","HARRIS COUNTY",130,36265900,70899
"472","GEORGIA","HART COUNTY",16,4786900,9356
"473","GEORGIA","HEARD COUNTY",6,716000,2727
"474","GEORGIA","IRWIN",19,5465000,9312
"475","GEORGIA","JASPER COUNTY",67,16083700,51087
"476","GEORGIA","JEFF DAVIS COUNTY",26,5105700,20725
"477","GEORGIA","JENKINS COUNTY",23,2835800,15835
"478","GEORGIA","JONES COUNTY",46,12514100,37520
"479","GEORGIA","LANIER COUNTY",20,2744900,15434
"480","GEORGIA","LAURENS COUNTY",53,10559200,40731
"481","GEORGIA","LONG COUNTY",171,43217500,96041
"482","GEORGIA","LUMPKIN COUNTY",39,9388100,32626
"483","GEORGIA","MCDUFFIE COUNTY",11,3012400,6916
"484","GEORGIA","MCINTOSH COUNTY",848,219881300,777799
"485","GEORGIA","MERIWETHER COUNTY",7,1533000,2428
"486","GEORGIA","MITCHELL COUNTY",205,30522700,143123
"487","GEORGIA","MURRAY COUNTY",46,9547900,38426
"488","GEORGIA","MUSCOGEE COUNTY",869,205866000,757716
"489","GEORGIA","OCONEE COUNTY",59,15842400,26827
"490","GEORGIA","OGLETHORPE COUNTY",9,1821300,6357
"491","GEORGIA","PAULDING COUNTY",200,51613600,82944
"492","GEORGIA","PEACH COUNTY",25,6370700,16926
"493","GEORGIA","PIERCE COUNTY",34,7790400,17602
"494","GEORGIA","QUITMAN COUNTY",2,392000,536
"495","GEORGIA","RABUN COUNTY",154,41824800,228985
"496","GEORGIA","RICHMOND COUNTY",1014,219369000,746217
"497","GEORGIA","ROCKDALE COUNTY",126,33488300,62069
"498","GEORGIA","SCREVEN COUNTY",26,4905000,17075
"499","GEORGIA","SPALDING COUNTY",116,25939200,62454
"500","GEORGIA","STEPHENS COUNTY",56,9184000,47688
"501","GEORGIA","STEWART COUNTY",1,175000,300
"502","GEORGIA","TALBOT COUNTY",7,1249400,4612
"503","GEORGIA","TATTNALL COUNTY",34,4885900,20607
"504","GEORGIA","TELFAIR COUNTY",9,1170000,5820
"505","GEORGIA","TERRELL COUNTY",8,1375500,5712
"506","GEORGIA","THOMAS COUNTY",212,49520200,133227
"507","GEORGIA","TIFT COUNTY",220,42591700,152604
"508","GEORGIA","TOOMBS COUNTY",40,5684800,23902
"509","GEORGIA","TOWNS COUNTY",73,16921100,55932
"510","GEORGIA","TREUTLEN COUNTY",1,128000,1328
"511","GEORGIA","TROUP COUNTY",145,39799600,184682
"512","GEORGIA","TURNER COUNTY",12,1358300,10296
"513","GEORGIA","TWIGGS COUNTY",2,280000,581
"514","GEORGIA","UPSON COUNTY",24,4501400,21663
"515","GEORGIA","WARE COUNTY",168,33894700,120828
"516","GEORGIA","WARREN COUNTY",3,1230000,2463
"517","GEORGIA","WAYNE COUNTY",80,16461700,49691
"518","GEORGIA","WHEELER COUNTY",10,834300,10433
"519","GEORGIA","WHITFIELD COUNTY",186,47826800,245226
"520","GEORGIA","WILKES COUNTY",1,105000,256
"521","GEORGIA","WILKINSON COUNTY",2,310000,2269
"522","GEORGIA","WORTH COUNTY",101,21965800,110934
"523","HAWAII","HAWAII COUNTY",4350,1031731200,3582929
"524","HAWAII","HONOLULU COUNTY",38112,8838403300,24038934
"525","HAWAII","KAUAI COUNTY",5358,1113988300,4423059
"526","HAWAII","MAUI COUNTY",12076,2642612400,7147882
"527","IDAHO","ELMORE COUNTY",118,18741800,95397
"528","IDAHO","FRANKLIN COUNTY",7,1703800,3127
"529","IDAHO","JEFFERSON COUNTY",72,18132100,41795
"530","IDAHO","MADISON COUNTY",51,16057400,50860
"531","IDAHO","WASHINGTON COUNTY",91,16571900,99535
"532","IDAHO","CLARK COUNTY",1,140000,285
"533","IDAHO","LINCOLN COUNTY",23,3912600,22506
"534","IDAHO","BUTTE COUNTY",14,2111400,13078
"535","IDAHO","ADAMS COUNTY",15,3444300,9902
"536","IDAHO","FREMONT COUNTY",20,5133000,26745
"537","IDAHO","ADA COUNTY",3140,931495300,1851382
"538","IDAHO","BANNOCK COUNTY",142,30283800,139087
"539","IDAHO","BEAR LAKE COUNTY",2,158000,2112
"540","IDAHO","BENEWAH COUNTY",84,18980100,75430
"541","IDAHO","BINGHAM COUNTY",149,32167600,108866
"542","IDAHO","BLAINE COUNTY",1245,368650100,710459
"543","IDAHO","BOISE COUNTY",62,14100400,34708
"544","IDAHO","BONNER COUNTY",334,82668800,214915
"545","IDAHO","BONNEVILLE COUNTY",144,36241100,109191
"546","IDAHO","BOUNDARY COUNTY",21,5763500,16327
"547","IDAHO","CAMAS COUNTY",2,286200,523
"548","IDAHO","CANYON COUNTY",598,142419300,422862
"549","IDAHO","CARIBOU COUNTY",4,677500,2163
"550","IDAHO","CASSIA COUNTY",34,8026900,24945
"551","IDAHO","CLEARWATER COUNTY",17,2525200,15807
"552","IDAHO","CUSTER COUNTY",51,10283700,36080
"553","IDAHO","GEM COUNTY",35,9515800,18523
"554","IDAHO","GOODING COUNTY",63,10710000,66479
"555","IDAHO","IDAHO COUNTY",47,9166200,42061
"556","IDAHO","JEROME COUNTY",4,1300000,2707
"557","IDAHO","KOOTENAI COUNTY",311,72880800,261845
"558","IDAHO","LATAH COUNTY",186,34446700,151336
"559","IDAHO","LEMHI COUNTY",85,16978800,85098
"560","IDAHO","LEWIS COUNTY",16,3508900,46426
"561","IDAHO","MINIDOKA COUNTY",21,6345000,10234
"562","IDAHO","NEZ PERCE COUNTY",43,11353400,52304
"563","IDAHO","ONEIDA COUNTY",2,220000,839
"564","IDAHO","OWYHEE COUNTY",1,350000,415
"565","IDAHO","PAYETTE COUNTY",83,19406300,51431
"566","IDAHO","POWER COUNTY",2,420000,667
"567","IDAHO","SHOSHONE COUNTY",559,81011700,374144
"568","IDAHO","TETON COUNTY",60,17538400,37088
"569","IDAHO","TWIN FALLS COUNTY",71,15512500,66384
"570","IDAHO","VALLEY COUNTY",47,12018600,47939
"571","ILLINOIS","CALHOUN COUNTY",192,22356200,122312
"572","ILLINOIS","CLAY COUNTY",20,2437000,13966
"573","ILLINOIS","DE KALB COUNTY",229,48160100,269156
"574","ILLINOIS","FAYETTE COUNTY",2,560000,702
"575","ILLINOIS","FRANKLIN COUNTY",100,11434400,104929
"576","ILLINOIS","GREENE COUNTY",30,3115400,32571
"577","ILLINOIS","HENRY COUNTY",266,32150900,312364
"578","ILLINOIS","JACKSON COUNTY",198,27651500,162574
"579","ILLINOIS","JEFFERSON COUNTY",32,3056400,21288
"580","ILLINOIS","LAWRENCE COUNTY",28,2475700,15968
"581","ILLINOIS","LEE COUNTY",284,43029600,308579
"582","ILLINOIS","MACON COUNTY",113,23600300,103075
"583","ILLINOIS","MADISON COUNTY",1527,337221700,1287710
"584","ILLINOIS","MARION COUNTY",29,6200300,22713
"585","ILLINOIS","MARSHALL COUNTY",63,9977900,50138
"586","ILLINOIS","MONROE COUNTY",212,33514400,250681
"587","ILLINOIS","MONTGOMERY COUNTY",16,577800,7999
"588","ILLINOIS","MORGAN COUNTY",180,17694600,166701
"589","ILLINOIS","PIKE COUNTY",217,36497600,108447
"590","ILLINOIS","RANDOLPH COUNTY",128,21673900,104453
"591","ILLINOIS","ST. CLAIR COUNTY",1526,286455500,1369543
"592","ILLINOIS","WASHINGTON COUNTY",7,1400800,6033
"593","ILLINOIS","BOONE COUNTY",181,36826000,187238
"594","ILLINOIS","CARROLL COUNTY",54,9024800,50365
"595","ILLINOIS","CLARK COUNTY",10,1259200,5147
"596","ILLINOIS","CRAWFORD COUNTY",49,6779000,35740
"597","ILLINOIS","FULTON COUNTY",47,5347100,37350
"598","ILLINOIS","JOHNSON COUNTY",12,3102000,9891
"599","ILLINOIS","LOGAN COUNTY",51,8045400,55790
"600","ILLINOIS","PERRY COUNTY",22,2429500,13547
"601","ILLINOIS","PULASKI COUNTY",41,7404600,44205
"602","ILLINOIS","SALINE COUNTY",159,28341600,151690
"603","ILLINOIS","SCOTT COUNTY",45,4107700,57501
"604","ILLINOIS","UNION COUNTY",88,7253000,90796
"605","ILLINOIS","WHITE COUNTY",80,9917500,55702
"606","ILLINOIS","LAKE COUNTY",2815,675374100,3124199
"607","ILLINOIS","ADAMS COUNTY",186,35486700,214179
"608","ILLINOIS","DOUGLAS COUNTY",258,28493500,220408
"609","ILLINOIS","PUTNAM COUNTY",19,2819600,20767
"610","ILLINOIS","COOK COUNTY",15452,3195857500,16144610
"611","ILLINOIS","EFFINGHAM COUNTY",10,2452400,8890
"612","ILLINOIS","HANCOCK COUNTY",111,11537200,82453
"613","ILLINOIS","JASPER COUNTY",8,1111400,3985
"614","ILLINOIS","WARREN COUNTY",31,2768100,15320
"615","ILLINOIS","WAYNE COUNTY",27,2117800,23581
"616","ILLINOIS","ALEXANDER COUNTY",191,19018200,177409
"617","ILLINOIS","BOND COUNTY",8,2824800,7608
"618","ILLINOIS","BROWN COUNTY",7,1529400,4284
"619","ILLINOIS","BUREAU COUNTY",63,7353600,62588
"620","ILLINOIS","CASS COUNTY",234,58787100,143644
"621","ILLINOIS","CHAMPAIGN COUNTY",381,81931400,299017
"622","ILLINOIS","CHRISTIAN COUNTY",31,5137800,16743
"623","ILLINOIS","CLINTON",12,2484900,24014
"624","ILLINOIS","CLINTON COUNTY",69,9482500,52979
"625","ILLINOIS","COLES COUNTY",116,14796900,101454
"626","ILLINOIS","CUMBERLAND COUNTY",4,732400,4379
"627","ILLINOIS","DE WITT COUNTY",41,5188900,40525
"628","ILLINOIS","DU PAGE COUNTY",4115,836973200,3970483
"629","ILLINOIS","EDGAR COUNTY",17,2279200,8571
"630","ILLINOIS","EDWARDS COUNTY",3,490000,915
"631","ILLINOIS","FORD COUNTY",2,280000,537
"632","ILLINOIS","GALLATIN COUNTY",47,5767500,31728
"633","ILLINOIS","GRUNDY COUNTY",475,89119500,575244
"634","ILLINOIS","HARDIN COUNTY",8,1605800,5893
"635","ILLINOIS","HENDERSON COUNTY",146,23871900,114882
"636","ILLINOIS","IROQUOIS COUNTY",548,47449200,392946
"637","ILLINOIS","JERSEY COUNTY",158,21308600,184129
"638","ILLINOIS","JO DAVIESS COUNTY",83,16678700,63808
"639","ILLINOIS","KANE COUNTY",720,161587000,774377
"640","ILLINOIS","KANKAKEE COUNTY",606,96705700,695772
"641","ILLINOIS","KENDALL COUNTY",801,137671000,1087476
"642","ILLINOIS","KNOX COUNTY",43,8910000,33336
"643","ILLINOIS","LA SALLE COUNTY",410,77539900,314132
"644","ILLINOIS","LIVINGSTON COUNTY",265,23209700,213823
"645","ILLINOIS","MACOUPIN COUNTY",14,866900,8271
"646","ILLINOIS","MASON COUNTY",78,9092900,45523
"647","ILLINOIS","MASSAC COUNTY",176,29155300,113542
"648","ILLINOIS","MCDONOUGH COUNTY",11,964500,5365
"649","ILLINOIS","MCHENRY COUNTY",1043,206456600,1341571
"650","ILLINOIS","MCLEAN COUNTY",206,45923100,190282
"651","ILLINOIS","MENARD COUNTY",22,5282300,33288
"652","ILLINOIS","MERCER COUNTY",21,2476100,8628
"653","ILLINOIS","MOULTRIE COUNTY",32,4864800,27157
"654","ILLINOIS","OGLE COUNTY",162,27067700,136743
"655","ILLINOIS","PEORIA COUNTY",538,96613000,589239
"656","ILLINOIS","PIATT COUNTY",54,10193400,46856
"657","ILLINOIS","RICHLAND COUNTY",7,1398200,4015
"658","ILLINOIS","ROCK ISLAND COUNTY",1076,175069300,1190155
"659","ILLINOIS","SANGAMON COUNTY",257,63198600,193390
"660","ILLINOIS","SCHUYLER COUNTY",17,3612800,23133
"661","ILLINOIS","STARK COUNTY",16,1678500,9113
"662","ILLINOIS","STEPHENSON COUNTY",125,18925200,106564
"663","ILLINOIS","TAZEWELL COUNTY",289,94254600,333942
"664","ILLINOIS","VERMILION COUNTY",92,15859600,70861
"665","ILLINOIS","WABASH COUNTY",18,4325000,6109
"666","ILLINOIS","WHITESIDE COUNTY",257,45779900,202014
"667","ILLINOIS","WILL COUNTY",1019,230206000,1248081
"668","ILLINOIS","WILLIAMSON COUNTY",235,33124400,187960
"669","ILLINOIS","WINNEBAGO COUNTY",863,135313300,1010578
"670","ILLINOIS","WOODFORD COUNTY",129,18008800,122103
"671","INDIANA","CLAY COUNTY",49,6500000,33044
"672","INDIANA","DE KALB COUNTY",83,13223400,112294
"673","INDIANA","FAYETTE COUNTY",78,10753000,49222
"674","INDIANA","FRANKLIN COUNTY",68,8730200,49479
"675","INDIANA","GREENE COUNTY",60,8219200,43273
"676","INDIANA","HENRY COUNTY",72,11151200,60792
"677","INDIANA","JACKSON COUNTY",292,50864500,241107
"678","INDIANA","JEFFERSON COUNTY",140,17242000,136638
"679","INDIANA","LAWRENCE COUNTY",40,6466700,26966
"680","INDIANA","MADISON COUNTY",349,53778000,288980
"681","INDIANA","MARION COUNTY",4508,884648800,4965479
"682","INDIANA","MARSHALL COUNTY",83,14619100,78639
"683","INDIANA","MONROE COUNTY",275,62146400,248503
"684","INDIANA","MONTGOMERY COUNTY",63,10400800,38606
"685","INDIANA","MORGAN COUNTY",372,87450300,290937
"686","INDIANA","PIKE COUNTY",9,1766100,6641
"687","INDIANA","RANDOLPH COUNTY",121,14874600,87843
"688","INDIANA","SHELBY COUNTY",325,54089000,322072
"689","INDIANA","WASHINGTON COUNTY",26,1690200,23325
"690","INDIANA","BENTON COUNTY",3,1050000,1203
"691","INDIANA","BOONE COUNTY",286,49270300,273981
"692","INDIANA","CARROLL COUNTY",300,46404000,267624
"693","INDIANA","CLARK COUNTY",1036,192244500,1058706
"694","INDIANA","CRAWFORD COUNTY",42,4833400,37867
"695","INDIANA","FULTON COUNTY",60,9270300,51328
"696","INDIANA","GRANT COUNTY",124,19481400,98564
"697","INDIANA","HOWARD COUNTY",240,57338400,272129
"698","INDIANA","JOHNSON COUNTY",549,113402700,515800
"699","INDIANA","NEWTON COUNTY",73,10348200,71540
"700","INDIANA","PERRY COUNTY",66,9605100,56739
"701","INDIANA","PULASKI COUNTY",68,6926000,48344
"702","INDIANA","SCOTT COUNTY",41,7670600,24933
"703","INDIANA","UNION COUNTY",5,798000,2514
"704","INDIANA","WHITE COUNTY",190,37194200,185355
"705","INDIANA","LAKE COUNTY",1789,397593100,1585351
"706","INDIANA","ORANGE COUNTY",86,17894900,190326
"707","INDIANA","ADAMS COUNTY",94,13707500,81998
"708","INDIANA","HAMILTON COUNTY",820,210322700,672785
"709","INDIANA","MARTIN COUNTY",12,1753200,10041
"710","INDIANA","PUTNAM COUNTY",62,11163400,50803
"711","INDIANA","DECATUR COUNTY",53,9869800,45607
"712","INDIANA","FLOYD COUNTY",223,47352700,201502
"713","INDIANA","HANCOCK COUNTY",266,51644800,286385
"714","INDIANA","JASPER COUNTY",148,21069900,135674
"715","INDIANA","WARREN COUNTY",4,338200,2363
"716","INDIANA","WAYNE COUNTY",143,16266800,109462
"717","INDIANA","BROWN COUNTY",142,29589700,166921
"718","INDIANA","CASS COUNTY",147,19759600,91027
"719","INDIANA","CLINTON COUNTY",66,13252900,39410
"720","INDIANA","KNOX COUNTY",119,23964500,126613
"721","INDIANA","WABASH COUNTY",99,15400100,84567
"722","INDIANA","ALLEN COUNTY",1014,202317500,1188954
"723","INDIANA","BARTHOLOMEW COUNTY",754,157242300,719584
"724","INDIANA","BLACKFORD COUNTY",5,709000,2744
"725","INDIANA","DAVIESS COUNTY",16,2604500,6528
"726","INDIANA","DEARBORN COUNTY",138,32721600,174202
"727","INDIANA","DELAWARE COUNTY",501,94086900,382772
"728","INDIANA","DUBOIS COUNTY",44,12907900,46961
"729","INDIANA","ELKHART COUNTY",496,99278600,516306
"730","INDIANA","FOUNTAIN COUNTY",18,3387400,8838
"731","INDIANA","GIBSON COUNTY",43,6297300,32441
"732","INDIANA","HARRISON COUNTY",107,15894800,116083
"733","INDIANA","HENDRICKS COUNTY",270,67375700,179113
"734","INDIANA","HUNTINGTON COUNTY",83,13820100,67846
"735","INDIANA","JAY COUNTY",48,6121700,40735
"736","INDIANA","JENNINGS COUNTY",28,2982100,15989
"737","INDIANA","KOSCIUSKO COUNTY",706,118997500,624907
"738","INDIANA","LA PORTE COUNTY",257,54144500,224715
"739","INDIANA","LAGRANGE COUNTY",236,41041400,183540
