"","state","county","policies","insurance","premium","total_loss","closed_loss","open_loss","cwop_loss","total_pay"
"96","arizona","mohave",1183,256580300,570882,147,87,0,60,1214283.2
"97","arizona","mojave",15,3273700,6948,NA,NA,NA,NA,NA
"98","arizona","navajo",589,106864800,607283,106,82,0,24,972917.06
"99","arizona","pima",4293,1012394900,3396759,495,301,0,194,6654294.75
"100","arizona","pinal",1234,309625300,703425,104,72,0,32,1734419.83
"101","arizona","santa cruz",633,148260900,662055,168,126,0,42,1455698.49
"102","arizona","yavapai",2048,460763400,1468098,356,261,0,95,3537432.15
"103","arizona","yuma",569,101763300,540296,154,98,0,56,1151314.29
"104","arkansas","calhoun",6,175500,2699,7,5,0,2,120430.36
"105","arkansas","clay",220,21988000,144262,165,132,12,21,3039122.62
"106","arkansas","cleburne",172,38124300,153147,28,18,2,8,1007092.33
"107","arkansas","dallas",3,328800,2285,1,1,0,0,7083.83
"108","arkansas","franklin",23,4610000,17648,45,36,0,9,701504.58
"109","arkansas","greene",666,65459900,303352,213,148,0,65,859356.36
"110","arkansas","jackson",265,33205100,219256,169,152,3,14,2925591.37
"111","arkansas","jefferson",456,66241400,383086,490,420,0,70,8021058.96
"112","arkansas","lawrence",184,20107200,147197,53,47,0,6,763977.21
"113","arkansas","lee",97,9913400,81182,30,27,0,3,340578.78
"114","arkansas","madison",16,819200,12114,7,5,0,2,112499.24
"115","arkansas","marion",16,2226100,11260,3,2,0,1,104325.32
"116","arkansas","monroe",190,18347700,139824,165,146,3,16,4370985.06
"117","arkansas","montgomery",82,13140100,40014,86,78,0,8,2019723.52
"118","arkansas","pike",18,4676700,23508,10,9,0,1,230064.26
"119","arkansas","randolph",141,24219900,94752,218,191,12,15,7846196.38
"120","arkansas","washington",871,200534200,815484,299,233,8,58,8610750.25
"121","arkansas","arkansas",214,20644200,148565,60,43,1,16,876755.51
